ID,DATE,YEAR,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
5618,21/11/2016,2016,37.393,141.387,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,9,Limited (<$1 million),,
5637,25/12/2016,2016,-43.517,-74.391,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.6,30,Limited (<$1 million),,
5741,20/08/2016,2016,40.394,143.68,JAPAN,Japan,Earthquake,Definite Tsunami,6,10,,,
5642,22/01/2017,2017,-6.246,155.172,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,135,Limited (<$1 million),Many (~101 to 1000 houses),Few (~1 to 50 people)
5639,1/03/2017,2017,-19.373,176.052,FIJI,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,6.9,12,,,
5643,19/03/2017,2017,27.835,51.94,IRAN,Red Sea and Persian Gulf,Meteorological,Definite Tsunami,,,Severe (~>$5 to $24 million),Some (~51 to 100 houses),Few (~1 to 50 people)
5648,28/04/2017,2017,5.504,125.066,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,6.9,26,Limited (<$1 million),Few (~1 to 50 houses),
5649,5/01/2017,2017,59.852,-136.677,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.2,1,,,
5647,24/04/2017,2017,-33.038,-72.062,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.9,28,,,
5651,17/06/2017,2017,71.813,-52.569,GREENLAND,Northwest Atlantic Ocean,Landslide,Definite Tsunami,,0,Limited (<$1 million),Few (~1 to 50 houses),Few (~1 to 50 people)
5654,17/07/2017,2017,54.443,168.857,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.7,10,,,
5655,20/07/2017,2017,36.929,27.414,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,6.6,7,Moderate (~$1 to $5 million),Few (~1 to 50 houses),Few (~1 to 50 people)
5656,19/07/2017,2017,11,-74.3,COLOMBIA,Caribbean Sea,Landslide,Definite Tsunami,,,Limited (<$1 million),Few (~1 to 50 houses),
5652,6/12/2017,2017,38.93,26.365,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.3,12,Moderate (~$1 to $5 million),Few (~1 to 50 houses),Few (~1 to 50 people)
5664,11/01/2017,2017,-21.648,168.859,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.6,22,,,
